index	sentence4
0	worthless
1	dreadful
2	irritating
3	horrible
4	excruciating
5	pointless
6	bad
7	depressing
8	nasty
9	boring
10	lackluster
11	repetitive
12	worse
13	pitiful
14	clunky
15	rotten
16	tedious
17	cliched
18	confusing
19	redundant
20	awful
21	sordid
22	stagy
23	satisfactory
24	conventional
25	sober
26	melodramatic
27	extreme
28	visual
29	emotional
30	satirical
31	artful
32	beguiling
33	stimulating
34	modest
35	gorgeous
36	inventive
37	good
38	ultimate
39	fantastic
40	epic
41	fun
42	better
43	perfect
44	successful
45	great
46	excellent
47	hilarious
48	fabulous
49	brilliant
50	Spectacular
