index	sentence1
0	It is worthless.
1	It is dreadful.
2	It is irritating.
3	It is horrible.
4	It is excruciating.
5	It is pointless.
6	It is bad.
7	It is depressing.
8	It is nasty.
9	It is boring.
10	It is lackluster.
11	It is repetitive.
12	It is worse.
13	It is pitiful.
14	It is clunky.
15	It is rotten.
16	It is tedious.
17	It is cliched.
18	It is confusing.
19	It is redundant.
20	It is awful.
21	It is sordid.
22	It is stagy.
23	It is satisfactory.
24	It is conventional.
25	It is sober.
26	It is melodramatic.
27	It is extreme.
28	It is visual.
29	It is emotional.
30	It is satirical.
31	It is artful.
32	It is beguiling.
33	It is stimulating.
34	It is modest.
35	It is gorgeous.
36	It is inventive.
37	It is good.
38	It is ultimate.
39	It is fantastic.
40	It is epic.
41	It is fun.
42	It is better.
43	It is perfect.
44	It is successful.
45	It is great.
46	It is excellent.
47	It is hilarious.
48	It is fabulous.
49	It is brilliant.
50	It is Spectacular.
